ID_IEK,FamilyTypeName,Mode,Цена,ADSK_Наименование,ADSK_Код изделия,ADSK_Завод-изготовитель,ADSK_Единица измерения,ADSK_Масса_Текст,Длина изделия,Размер,Высота,Ширина,Длина
#504010201017,IEK_PF_Лоток перфорированный DEFAULT_L=3000,OS,175.6725,"Лоток перфорированный 35х50х3000, 0,7мм",CLP10-035-050-070-3,IEK,м,-,3,35х50х3000,35,50,3000
#504010201018,IEK_PF_Лоток перфорированный DEFAULT_L=3000,OS,210.315,"Лоток перфорированный 35х100х3000, 0,7мм",CLP10-035-100-070-3,IEK,м,-,3,35х100х3000,35,100,3000
#504010201019,IEK_PF_Лоток перфорированный DEFAULT_L=3000,OS,272.2425,"Лоток перфорированный 35х150х3000, 0,7мм",CLP10-035-150-070-3,IEK,м,-,3,35х150х3000,35,150,3000
#504010201020,IEK_PF_Лоток перфорированный DEFAULT_L=3000,OS,305.4075,"Лоток перфорированный 35х200х3000, 0,7мм",CLP10-035-200-070-3,IEK,м,-,3,35х200х3000,35,200,3000
#504010201021,IEK_PF_Лоток перфорированный DEFAULT_L=3000,OS,325.5,"Лоток перфорированный 35х300х3000, 0,8мм",CLP10-035-300-080-3,IEK,м,-,3,35х300х3000,35,300,3000
#504010201022,IEK_PF_Лоток перфорированный DEFAULT_L=3000,OS,160.6125,Лоток перфорированный 50х50х3000 ИЭК,CLP10-050-050-3,IEK,м,-,3,50х50х3000 ,50,50,3000
#504010201023,IEK_PF_Лоток перфорированный DEFAULT_L=3000,OS,205.11,Лоток перфорированный 50х100х3000 ИЭК,CLP10-050-100-3,IEK,м,-,3,50х100х3000,50,100,3000
#504010201024,IEK_PF_Лоток перфорированный DEFAULT_L=3000,OS,240,Лоток перфорированный 50х150х3000 ИЭК,CLP10-050-150-3,IEK,м,-,3,50х150х3000,50,150,3000
#504010201025,IEK_PF_Лоток перфорированный DEFAULT_L=3000,OS,296.0625,Лоток перфорированный 50х200х3000 ИЭК,CLP10-050-200-3,IEK,м,-,3,50х200х3000,50,200,3000
#504010201026,IEK_PF_Лоток перфорированный DEFAULT_L=3000,OS,354.315,Лоток перфорированный 50х300х3000 ИЭК,CLP10-050-300-3,IEK,м,-,3,50х300х3000,50,300,3000
#504010201027,IEK_PF_Лоток перфорированный DEFAULT_L=3000,OS,585.3825,Лоток перфорированный 50х400х3000 ИЭК,CLP10-050-400-3,IEK,м,-,3,50х400х3000,50,400,3000
#504010201028,IEK_PF_Лоток перфорированный DEFAULT_L=3000,OS,739.155,Лоток перфорированный 50х500х3000 ИЭК,CLP10-050-500-3,IEK,м,-,3,50х500х3000,50,500,3000
#504010201029,IEK_PF_Лоток перфорированный DEFAULT_L=3000,OS,954.1575,Лоток перфорированный 50х600х3000 IEK,CLP10-050-600-3,IEK,м,-,3,50х600х3000,50,600,3000
#504010201030,IEK_PF_Лоток перфорированный DEFAULT_L=3000,OS,276.435,Лоток перфорированный 80х80х3000 ИЭК,CLP10-080-080-3,IEK,м,-,3,80х80х3000 ,80,80,3000
#504010201031,IEK_PF_Лоток перфорированный DEFAULT_L=3000,OS,333.5625,Лоток перфорированный 80х100х3000 ИЭК,CLP10-080-100-3,IEK,м,-,3,80х100х3000,80,100,3000
#504010201032,IEK_PF_Лоток перфорированный DEFAULT_L=3000,OS,405.315,Лоток перфорированный 80х150х3000 ИЭК,CLP10-080-150-3,IEK,м,-,3,80х150х3000,80,150,3000
#504010201033,IEK_PF_Лоток перфорированный DEFAULT_L=3000,OS,460.3575,Лоток перфорированный 80х200х3000 ИЭК,CLP10-080-200-3,IEK,м,-,3,80х200х3000,80,200,3000
#504010201034,IEK_PF_Лоток перфорированный DEFAULT_L=3000,OS,563.7,Лоток перфорированный ESCA 80х300х3000 IEK,CLP10-080-300-3,IEK,м,-,3,80x300x3000,80,300,3000
#504010201035,IEK_PF_Лоток перфорированный DEFAULT_L=3000,OS,758.9175,Лоток перфорированный ESCA 80х400х3000 IEK,CLP10-080-400-3,IEK,м,-,3,80x400x3000,80,400,3000
#504010201036,IEK_PF_Лоток перфорированный DEFAULT_L=3000,OS,1008.54,Лоток перфорированный 80х500х3000 ИЭК,CLP10-080-500-3,IEK,м,-,3,80х500х3000,80,500,3000
#504010201037,IEK_PF_Лоток перфорированный DEFAULT_L=3000,OS,1236.9825,Лоток перфорированный 80х600х3000 IEK,CLP10-080-600-3,IEK,м,-,3,80х600х3000,80,600,3000
#504010201038,IEK_PF_Лоток перфорированный DEFAULT_L=3000,OS,382.755,Лоток перфорированный 100х100х3000 ИЭК,CLP10-100-100-3,IEK,м,-,3,100х100х3000,100,100,3000
#504010201039,IEK_PF_Лоток перфорированный DEFAULT_L=3000,OS,501.6825,Лоток перфорированный 100х150х3000 ИЭК,CLP10-100-150-3,IEK,м,-,3,100х150х3000,100,150,3000
#504010201040,IEK_PF_Лоток перфорированный DEFAULT_L=3000,OS,567.975,Лоток перфорированный 100х200х3000 ИЭК,CLP10-100-200-3,IEK,м,-,3,100х200х3000,100,200,3000
#504010201041,IEK_PF_Лоток перфорированный DEFAULT_L=3000,OS,783.1125,Лоток перфорированный ESCA 100х300х3000 IEK,CLP10-100-300-3,IEK,м,-,3,100x300x3000,100,300,3000
#504010201042,IEK_PF_Лоток перфорированный DEFAULT_L=3000,OS,1103.205,Лоток перфорированный ESCA 100х400х3000 IEK,CLP10-100-400-3,IEK,м,-,3,100x400x3000,100,400,3000
#504010201043,IEK_PF_Лоток перфорированный DEFAULT_L=3000,OS,1193.4375,Лоток перфорированный 100х500х3000 ИЭК,CLP10-100-500-3,IEK,м,-,3,100х500х3000,100,500,3000
#504010201044,IEK_PF_Лоток перфорированный DEFAULT_L=3000,OS,1264.17,Лоток перфорированный 100х600х3000 IEK,CLP10-100-600-3,IEK,м,-,3,100х600х3000,100,600,3000
#504010201045,IEK_PF_Лоток перфорированный DEFAULT_L=2000,OS,160.6125,Лоток перфорированный 50х50х2000 IEK,CLP10-050-050-2,IEK,м,-,2,50х50х2000,50,50,2000
#504010201046,IEK_PF_Лоток перфорированный DEFAULT_L=2000,OS,205.11,Лоток перфорированный 50х100х2000 IEK,CLP10-050-100-2,IEK,м,-,2,50х100х2000,50,100,2000
#504010201047,IEK_PF_Лоток перфорированный DEFAULT_L=2000,OS,240,Лоток перфорированный 50х150х2000 IEK,CLP10-050-150-2,IEK,м,-,2,50х150х2000,50,150,2000
#504010201048,IEK_PF_Лоток перфорированный DEFAULT_L=2000,OS,296.0625,Лоток перфорированный 50х200х2000 IEK,CLP10-050-200-2,IEK,м,-,2,50х200х2000,50,200,2000
#504010201049,IEK_PF_Лоток перфорированный DEFAULT_L=2000,OS,354.315,Лоток перфорированный 50х300х2000 IEK,CLP10-050-300-2,IEK,м,-,2,50х300х2000,50,300,2000
#504010201050,IEK_PF_Лоток перфорированный DEFAULT_L=2000,OS,585.39,Лоток перфорированный 50х400х2000 IEK,CLP10-050-400-2,IEK,м,-,2,50х400х2000,50,400,2000
#504010201051,IEK_PF_Лоток перфорированный DEFAULT_L=2000,OS,739.155,Лоток перфорированный 50х500х2000 IEK,CLP10-050-500-2,IEK,м,-,2,50х500х2000,50,500,2000
#504010201052,IEK_PF_Лоток перфорированный DEFAULT_L=2000,OS,954.165,Лоток перфорированный 50х600х2000 IEK,CLP10-050-600-2,IEK,м,-,2,50х600х2000,50,600,2000
#504010201053,IEK_PF_Лоток перфорированный DEFAULT_L=2000,OS,276.435,Лоток перфорированный 80х80х2000 IEK,CLP10-080-080-2,IEK,м,-,2,80х80х2000 ,80,80,2000
#504010201054,IEK_PF_Лоток перфорированный DEFAULT_L=2000,OS,333.57,Лоток перфорированный 80х100х2000 ИЭК,CLP10-080-100-2,IEK,м,-,2,80х100х2000,80,100,2000
#504010201055,IEK_PF_Лоток перфорированный DEFAULT_L=2000,OS,405.315,Лоток перфорированный 80х150х2000 IEK,CLP10-080-150-2,IEK,м,-,2,80х150х2000,80,150,2000
#504010201056,IEK_PF_Лоток перфорированный DEFAULT_L=2000,OS,460.3575,Лоток перфорированный 80х200х2000 IEK,CLP10-080-200-2,IEK,м,-,2,80х200х2000,80,200,2000
#504010201057,IEK_PF_Лоток перфорированный DEFAULT_L=2000,OS,563.7,Лоток перфорированный 80х300х2000 IEK,CLP10-080-300-2,IEK,м,-,2,80х300х2000,80,300,2000
